time,AX,AY,AZ,GX,GY,GZ
70.867679,1376.000000,-11580.000000,-7112.000000,-9896.000000,-8978.000000,56.000000
71.032450,-6992.000000,-9260.000000,-12296.000000,-13047.000000,-3380.000000,3200.000000
71.253800,-2408.000000,-9976.000000,-7384.000000,-3894.000000,5578.000000,6867.000000
71.486727,-5372.000000,-3892.000000,-16600.000000,-2378.000000,-10567.000000,-3072.000000
71.646602,-6280.000000,-6672.000000,-15212.000000,914.000000,2253.000000,-1682.000000
71.878511,-2848.000000,-8968.000000,-11956.000000,19659.000000,4690.000000,-5648.000000
72.082054,248.000000,-13820.000000,-4628.000000,17570.000000,4279.000000,553.000000
72.259596,-804.000000,-14640.000000,5740.000000,16610.000000,7500.000000,12480.000000
72.475898,-3356.000000,-11940.000000,8352.000000,5515.000000,435.000000,2074.000000
72.651983,-7836.000000,-13268.000000,9404.000000,4088.000000,4350.000000,4774.000000
72.892719,-8720.000000,-8444.000000,9460.000000,2821.000000,3587.000000,5425.000000
73.088768,-9300.000000,-9208.000000,10452.000000,-2806.000000,6783.000000,4463.000000
73.267908,-8516.000000,-10708.000000,12720.000000,-11173.000000,3462.000000,-7123.000000
73.510600,-4476.000000,-13796.000000,8436.000000,-11627.000000,-7479.000000,-2578.000000
73.658325,-4056.000000,-10124.000000,-1236.000000,-15882.000000,6224.000000,-9258.000000
73.893327,-6644.000000,-20556.000000,-7516.000000,-12320.000000,-24509.000000,-561.000000
74.095210,-2616.000000,-11380.000000,-11124.000000,-14446.000000,1088.000000,-7382.000000
74.313384,2132.000000,-1320.000000,-13504.000000,-13359.000000,8142.000000,2160.000000
74.488353,-5584.000000,-1152.000000,-13344.000000,15308.000000,-31797.000000,12321.000000
74.707216,-6180.000000,-9700.000000,-9108.000000,12230.000000,-400.000000,-115.000000
74.919553,-3836.000000,-9992.000000,-9492.000000,2292.000000,9757.000000,-8796.000000
75.101201,-364.000000,-12188.000000,-9060.000000,8651.000000,17658.000000,-1962.000000
75.282035,4628.000000,-11780.000000,-4840.000000,11452.000000,10716.000000,3190.000000
75.541196,-1592.000000,-10340.000000,556.000000,5649.000000,13698.000000,8225.000000
75.777614,-4632.000000,-15232.000000,8412.000000,-1708.000000,7403.000000,11248.000000
75.905754,-8604.000000,-21036.000000,5128.000000,-2981.000000,-7801.000000,-3771.000000
76.108124,-7588.000000,-15540.000000,2880.000000,464.000000,-1552.000000,-8675.000000
76.328897,-972.000000,-18112.000000,4936.000000,92.000000,-8985.000000,-18474.000000
76.500985,5152.000000,-12952.000000,380.000000,-8185.000000,3397.000000,-14399.000000
76.722775,10892.000000,-13244.000000,-1212.000000,6343.000000,-18256.000000,-11426.000000
76.895057,14864.000000,-5992.000000,4144.000000,1696.000000,-5946.000000,-9534.000000
77.122801,11592.000000,-12544.000000,-2320.000000,-10328.000000,26785.000000,22633.000000
77.344738,-6936.000000,-15520.000000,1680.000000,-2279.000000,32035.000000,32767.000000
77.507243,-15676.000000,-16596.000000,-5464.000000,3628.000000,369.000000,5921.000000
77.731445,-8880.000000,-15368.000000,1216.000000,1221.000000,-2464.000000,-16801.000000
77.901056,1988.000000,-13696.000000,4780.000000,7835.000000,-16843.000000,-19190.000000
78.120174,11852.000000,-12632.000000,6168.000000,5138.000000,-27860.000000,-23458.000000
78.353737,13356.000000,-10156.000000,-6324.000000,-5530.000000,-13421.000000,-2537.000000
78.517376,11544.000000,-6248.000000,-3660.000000,5585.000000,-25747.000000,-3484.000000
78.745576,2424.000000,-9064.000000,-17988.000000,11576.000000,-11429.000000,-4912.000000
78.951721,172.000000,-3052.000000,-21952.000000,-839.000000,-12917.000000,-5056.000000
79.129548,-3116.000000,6132.000000,-24464.000000,9096.000000,-11148.000000,3968.000000
79.353959,3908.000000,1020.000000,-10192.000000,6372.000000,9517.000000,-2747.000000
79.521296,8912.000000,-9428.000000,-9704.000000,8048.000000,32536.000000,2272.000000
79.751422,13260.000000,-6568.000000,-1716.000000,1935.000000,32741.000000,8084.000000
79.957372,7776.000000,-14172.000000,9220.000000,9168.000000,15824.000000,31123.000000
80.132385,-3712.000000,-16456.000000,9300.000000,-2626.000000,13163.000000,19808.000000
80.369542,-9080.000000,-12196.000000,7728.000000,-343.000000,6279.000000,4408.000000
80.527674,-11924.000000,-13580.000000,6172.000000,385.000000,-2982.000000,1189.000000
80.789081,-11060.000000,-8240.000000,4796.000000,1574.000000,-2409.000000,1642.000000
80.963870,-5980.000000,-8732.000000,-860.000000,-588.000000,-1104.000000,-27928.000000
81.146071,7892.000000,-6088.000000,9068.000000,-14218.000000,-10834.000000,-28126.000000
81.366224,3480.000000,-19716.000000,-6160.000000,-5866.000000,-18984.000000,8291.000000
81.576541,-4536.000000,-14828.000000,-11152.000000,-7534.000000,4447.000000,5623.000000
81.754181,-6964.000000,-12400.000000,-8360.000000,-8871.000000,7561.000000,6152.000000
82.010705,-8964.000000,-7404.000000,-14152.000000,-2461.000000,-5589.000000,5665.000000
82.145836,-8800.000000,-5580.000000,-10800.000000,-208.000000,-304.000000,1722.000000
82.390109,-7568.000000,-4772.000000,-9580.000000,-2167.000000,3732.000000,709.000000
82.582595,-8360.000000,-5580.000000,-11056.000000,-554.000000,767.000000,-141.000000
82.764138,-8144.000000,-6152.000000,-10976.000000,-662.000000,42.000000,-760.000000
82.976397,-7788.000000,-6172.000000,-10360.000000,-725.000000,609.000000,-702.000000
83.195208,-7592.000000,-6704.000000,-10528.000000,-567.000000,253.000000,-292.000000
83.380930,-7572.000000,-6356.000000,-11184.000000,-253.000000,505.000000,-362.000000
83.588693,-7416.000000,-6508.000000,-10592.000000,-635.000000,-304.000000,-406.000000
83.767981,-7452.000000,-6696.000000,-11032.000000,-807.000000,325.000000,-345.000000
83.982558,-7608.000000,-6936.000000,-11236.000000,806.000000,183.000000,133.000000
84.205151,-7276.000000,-6720.000000,-11152.000000,179.000000,779.000000,817.000000
84.403984,-7428.000000,-6188.000000,-11380.000000,-528.000000,-264.000000,-273.000000
84.594925,-6932.000000,-5556.000000,-11128.000000,-540.000000,678.000000,10.000000
84.779368,-6900.000000,-6936.000000,-11572.000000,-505.000000,1526.000000,-857.000000
84.994943,-5592.000000,-12712.000000,-14064.000000,19374.000000,20821.000000,-18979.000000
85.230506,-4588.000000,-23672.000000,-2232.000000,32767.000000,32767.000000,14752.000000
85.383002,-9012.000000,-17780.000000,624.000000,-179.000000,12350.000000,5447.000000
85.601675,-4856.000000,-11776.000000,5792.000000,192.000000,715.000000,23.000000
85.821222,-5376.000000,-14424.000000,10168.000000,-493.000000,3591.000000,1463.000000
85.995433,-5744.000000,-13324.000000,8820.000000,-906.000000,751.000000,-135.000000
86.231116,-5820.000000,-12272.000000,7220.000000,-525.000000,1908.000000,86.000000
86.389248,-5908.000000,-13588.000000,7556.000000,118.000000,-1180.000000,-98.000000
86.607484,-5712.000000,-12436.000000,6736.000000,-157.000000,-1523.000000,917.000000
86.826122,-5804.000000,-13616.000000,5888.000000,201.000000,-145.000000,94.000000
87.001551,-5516.000000,-12588.000000,8068.000000,-493.000000,-147.000000,-224.000000
87.220084,-5344.000000,-13048.000000,7560.000000,70.000000,1000.000000,-842.000000
87.407494,-5692.000000,-12976.000000,8844.000000,87.000000,33.000000,-568.000000
87.614012,-6392.000000,-15284.000000,10128.000000,-428.000000,-622.000000,-539.000000
